Zip Code,Gov Level,Branch,Role,🌐 MyCivX – Name,🌐 MyCivX – Website,🤖 Gemini – Name,🤖 Gemini – Notes,🤖 Claude Haiku – Name,🤖 Claude Haiku – Notes,🤖 OpenAI – Name,🤖 OpenAI – Notes,✅ All Match?
10019,Federal,Executive,President,Donald Trump,https://www.whitehouse.gov,,,,,,,
,Federal,Executive,Vice President,JD Vance,https://www.whitehouse.gov,,,,,,,
,Federal,Executive (Cabinet),Secretary of Agriculture,Brooke Rollins,https://www.usda.gov,,,,,,,
,Federal,Executive (Cabinet),Attorney General,Pamela Bondi,https://www.justice.gov,,,,,,,
,Federal,Executive (Cabinet),Secretary of HUD,Scott Turner,https://www.hud.gov,,,,,,,
,Federal,Executive (Cabinet),US Trade Representative,Jamieson Greer,https://www.ustr.gov,,,,,,,
,Federal,Legislature,US Senator,Chuck Schumer,https://www.schumer.senate.gov,,,,,,,
,Federal,Legislature,US Senator,Kirsten Gillibrand,https://www.gillibrand.senate.gov,,,,,,,
,Federal,Legislature,US Representative,Jerrold Nadler,https://nadler.house.gov,,,,,,,
,State (New York),Executive,Governor,Kathy Hochul,https://www.ny.gov/governor,,,,,,,
,State (New York),Legislature,State Senator,Erik Bottcher,https://www.nysenate.gov/senators/erik-bottcher,,,,,,,
,State (New York),Legislature,State Representative,Tony Simone,https://nyassembly.gov/mem/Tony-Simone,,,,,,,
,Local (NYC),Executive,Borough President (Manhattan),Brad Hoylman-Sigal,https://www.manhattanbp.nyc.gov,,,,,,,
,Local (NYC),Executive,NYC Comptroller,Mark Levine,https://www.manhattanbp.nyc.gov,,,,,,,
,Local (NYC),Executive,Mayor of NYC,Zohran Kwame Mamdani,https://www.nyc.gov/mayors-office,,,,,,,
,Local (NYC),Executive,NYC Public Advocate,Jumaane D. Williams,https://advocate.nyc.gov/about/the-public-advocate,,,,,,,
,Local (NYC),Legislature,City Council Member (District 3),Carl Wilson,https://council.nyc.gov/district-3,,,,,,,
,Local (NYC),Legislature,City Council Member (District 6),Gale Brewer,https://council.nyc.gov/district-6,,,,,,,
10012,Federal,Executive,President,[To be filled],,,,,,,,
,Federal,Executive,Vice President,[To be filled],,,,,,,,
,Federal,Legislature,US Senator,[To be filled],,,,,,,,
,Federal,Legislature,US Senator,[To be filled],,,,,,,,
,Federal,Legislature,US Representative,[To be filled],,,,,,,,
,State (New York),Executive,Governor,[To be filled],,,,,,,,
,State (New York),Legislature,State Senator,[To be filled],,,,,,,,
,State (New York),Legislature,State Representative,[To be filled],,,,,,,,
,Local (NYC),Executive,Mayor of NYC,[To be filled],,,,,,,,
10013,Federal,Executive,President,[To be filled],,,,,,,,
,Federal,Executive,Vice President,[To be filled],,,,,,,,
,Federal,Legislature,US Senator,[To be filled],,,,,,,,
,Federal,Legislature,US Senator,[To be filled],,,,,,,,
,Federal,Legislature,US Representative,[To be filled],,,,,,,,
,State (New York),Executive,Governor,[To be filled],,,,,,,,
,State (New York),Legislature,State Senator,[To be filled],,,,,,,,
,State (New York),Legislature,State Representative,[To be filled],,,,,,,,
,Local (NYC),Executive,Mayor of NYC,[To be filled],,,,,,,,
